Address,District,City,Size,Price,Description
Kotinummenkuja 2 D 13,Tapanila,Helsinki,58 m²,199 000 €,"
2h+k+kph+ter+piha
"
Thomas Byströmin kuja 2 C,Jätkäsaari,Helsinki,65 m²,555 000 €,"
2h+kt+s+2x las.parveke
"
Kolmas linja 5 A,Kallio,Helsinki,55 m²,304 000 €,"
2-3h+k+kph+vh
"
Raaseporintie 1 C,Puotinharju,Helsinki,46 m²,189 000 €,"
2h+k+kph+vh+parveke
"
Maurinkatu 14 D,Kruununhaka,Helsinki,"45,5 m²",340 000 €,"
2h + k+kph/wc+2 vh
"
Liusketie 2,Pihlajamäki,Helsinki,55 m²,115 000 €,"
2h+kk
"
Vaasankatu 19,Harju,Helsinki,54 m²,345 000 €,"
2h, k, vh, kph
"
Maaherrantie 34 A 17,Oulunkylä,Helsinki,"45,5 m²",323 100 €,"
2H+KT+S
"
Maaherrantie 34 A 14,Oulunkylä,Helsinki,"59,5 m²",345 100 €,"
2H+KT+VIHERH.
"
Naapurintie 4 A,Kontula,Helsinki,50 m²,187 000 €,"
2h+kk+s
"
Neitsytsaarentie 9a A,Vuosaari,Helsinki,54 m²,158 000 €,"
2h, k, kph, vh, p (yj. 2 h+k)
"
Vuorimiehenkatu 33 A,Ullanlinna,Helsinki,"53,6 m²",428 000 €,"
2h + k + kph + vh
"
Poutamäentie 12,Pajamäki,Helsinki,"53,5 m²",267 000 €,"
2h + k + lasitettu länsiparveke
"
Laurinniityntie 17 a,Lassila,Helsinki,50 m²,224 000 €,"
2h+kk+kph+s+p
"
Kurkisuontie 14 E,Kurkimäki,Helsinki,60 m²,178 000 €,"
2 h, k, s, kph, p
"
Fleminginkatu 23 B,Alppiharju,Helsinki,42 m²,295 000 €,"
2h+kk
"
Hiihtomäentie 21 B,Herttoniemi,Helsinki,"41,5 m²",235 000 €,"
2h+avok+alk+kph (yhtiöjärjestyksen mukaan 2h+kk+kh)
"
Palkkatilankatu 8,Länsi-Pasila,Helsinki,"54,5 m²",309 000 €,"
2h+k+kph+eril.wc+las.parveke
"
Pohjoiskaari 15,Lauttasaari,Helsinki,"77,5 m²",745 000 €,"
77 m2 loft (2-3h+avok.+aula+kph/khh)+parvi+terassi
"
Pääskylänrinne 4 B,Sörnäinen,Helsinki,51 m²,255 000 €,"
2h+avok+kph+et (yhtiöj. mukaan 2h+halli+kk)
"
Rapakivenkuja 2,Pihlajamäki,Helsinki,"52,5 m²",160 000 €,"
2h, k, kph, lasitettu parveke
"
Sturenkatu 36 B,Vallila,Helsinki,"52,5 m²",327 400 €,"
2h, avok, kph, et.
"
Sturenkatu 30 B 24,Vallila,Helsinki,"61,1 m²",349 000 €,"
2h + avok
"
Merikorttikuja 2,Vuosaari,Helsinki,"50,8 m²",184 000 €,"
2h+k
"
Kurkisuontie 14 D,Kurkimäki,Helsinki,64 m²,185 000 €,"
2h, k, kph, s, vh, las. parv
"
Kontulankaari 2 B,Kontula,Helsinki,58 m²,129 000 €,"
2h+k+kph+lasitettu parveke (yhtiöjärjestyksen mukaan 2h+k)
"
Vaasankatu 18 B,Kallio,Helsinki,"50,5 m²",320 000 €,"
2h, k, kph, lasitettu parveke
"
Taidemaalarinkatu 8 C 47,Kuninkaantammi,Helsinki,"42,5 m²",243 500 €,"
2H+KT
"
Hämeentie 152 B,Toukola,Helsinki,"37,4 m²",249 000 €,"
2h, k, kph, et, vh
"
Pakkamestarinkatu 3 C,Itä-Pasila,Helsinki,"59,5 m²",298 000 €,"
2h, k, kph, et, lasitettu parveke
"
Luistarinkuja 6 B,Vesala,Helsinki,43 m²,139 000 €,"
2h, k, kph, terassi
"
